Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Corynebacterium_pelargi,Corynebacterium,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,13.72
Psychromicrobium_lacuslunae,Psychromicrobium,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.05
Tessaracoccus_aquimaris,Tessaracoccus,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.32
Turicibacter_sanguinis,Turicibacter,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.17
Spiroplasma_chrysopicola,Spiroplasma,,87,169.740004,1,1,1,0.000242,21,0,0,23,0.001822,0.668538,2501,0.094005,0.25
Kocuria_indica,Kocuria,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.53
Corynebacterium_pseudopelargi,Corynebacterium,,87,169.740004,1,1,1,0.000242,21,0,0,23,0.001822,0.668538,2501,0.094005,13.72
Lachnoclostridium_phytofermentans,Lachnoclostridium,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.47
Corynebacterium_choanis,Corynebacterium,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,13.72
Sinomonas_atrocyanea,Sinomonas,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.05
Ureibacillus_thermosphaericus,Ureibacillus,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.02
Neomicrococcus_aestuarii,Neomicrococcus,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.07
Lactobacillus_kunkeei,Lactobacillus,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,2.19
Coriobacterium_glomerans,Coriobacterium,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.14
Pedobacter_ginsengisoli,Pedobacter,,47,92.980001,2,0.685039,0.770115,0,21,0,0,23,0.001083,1,1081,0.051348,0.38
